"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/looong/Desktop/restart/first-step/backend/app.js", "JavaScript", 14, 0, 3, 5, 22
"/Users/looong/Desktop/restart/first-step/backend/config/jwt.js", "JavaScript", 6, 0, 0, 2, 8
"/Users/looong/Desktop/restart/first-step/backend/controller/loginController/loginController.js", "JavaScript", 51, 0, 1, 8, 60
"/Users/looong/Desktop/restart/first-step/backend/controller/userController/userController.js", "JavaScript", 100, 0, 7, 23, 130
"/Users/looong/Desktop/restart/first-step/backend/controller/userData/userData.json", "JSON", 0, 92, 0, 1, 93
"/Users/looong/Desktop/restart/first-step/backend/middleware/authMiddleware.js", "JavaScript", 22, 0, 0, 5, 27
"/Users/looong/Desktop/restart/first-step/backend/package-lock.json", "JSON", 0, 1298, 0, 1, 1299
"/Users/looong/Desktop/restart/first-step/backend/package.json", "JSON", 0, 19, 0, 1, 20
"/Users/looong/Desktop/restart/first-step/backend/routes/loginRoutes.js", "JavaScript", 5, 0, 0, 3, 8
"/Users/looong/Desktop/restart/first-step/backend/routes/userRoutes.js", "JavaScript", 9, 0, 5, 8, 22
"Total", "-", 207, 1409, 16, 57, 1689
